Time,X,Y,Z,Zrange,Gas1L,Gas1R
84690,0.2511706948,0.3928733170,0.3069327176,307,18196,17993
84700,0.2495379001,0.3923472464,0.3071736097,307,18196,17988
84710,0.2486001551,0.3924708664,0.3074143529,307,18196,17988
84720,0.2467210442,0.3930512965,0.3075604439,307,18196,17988
84730,0.2456439435,0.3893910944,0.3075298965,307,18196,17988
84740,0.2425104678,0.3866492212,0.3070421219,307,18196,17988
84750,0.2425968796,0.3857130706,0.3076425493,308,18196,17988
84760,0.2406867594,0.3828906417,0.3075554073,308,18196,17988
84770,0.2389653325,0.3829038739,0.3077700436,308,18196,17988
84780,0.2393868417,0.3811718225,0.3080889285,308,18196,17988
84790,0.2358224839,0.3824900389,0.3080740571,308,18196,17988
84800,0.2353881001,0.3791384101,0.3071535230,306,18196,17988
84810,0.2325547785,0.3734013438,0.3062530756,306,18196,17988
84820,0.2323280871,0.3735108078,0.3070033789,306,18196,17988
84830,0.2299606800,0.3733206689,0.3069805801,306,18196,17988
84840,0.2283430099,0.3726876974,0.3073546290,308,18196,17988
84850,0.2286154777,0.3715811074,0.3075149655,308,18196,17988
84860,0.2267165184,0.3721831739,0.3075106740,308,18196,17988
84870,0.2237423807,0.3731659949,0.3073203862,308,18196,17988
84880,0.2222144455,0.3664270639,0.3071752489,308,18196,17988
84890,0.2210880965,0.3651187122,0.3066477180,306,18196,17988
84900,0.2200999260,0.3643149137,0.3067158759,306,18196,17988
84910,0.2178647369,0.3619565666,0.3062917888,306,18196,17988
84920,0.2172161788,0.3624940217,0.3068465292,306,18196,17988
84930,0.2143573016,0.3614089489,0.3062205315,306,18196,17988
84940,0.2148183286,0.3602840006,0.3064999580,306,18196,17988
84950,0.2122761458,0.3600051999,0.3063273430,306,18204,17988
84960,0.2109398693,0.3598729372,0.3063779473,306,18204,17988
84970,0.2113678008,0.3583650887,0.3066450059,307,18204,17988
84980,0.2078929543,0.3584004939,0.3065644205,307,18204,17988
84990,0.2080693096,0.3561867774,0.3066836596,307,18204,17988
85000,0.2046262026,0.3560085893,0.3063864708,307,18204,17988
85010,0.2051140666,0.3548034132,0.3067201078,307,18204,17988
85020,0.2031674534,0.3533293903,0.3075138330,309,18204,17988
85030,0.2023133188,0.3520065546,0.3075617850,309,18204,17988
85040,0.1997675747,0.3518020511,0.3074970841,309,18204,17988
85050,0.1988948435,0.3511044085,0.3076421618,309,18204,17988
85060,0.1962762177,0.3509237766,0.3092718720,312,18204,17988
85070,0.1946989447,0.3505073786,0.3093616068,312,18204,17988
85080,0.1922559142,0.3475193083,0.3091214001,312,18204,17988
85090,0.1927939951,0.3478114009,0.3099516332,312,18204,17988
85100,0.1915605664,0.3473801613,0.3101329803,312,18204,17988
85110,0.1906269640,0.3460052609,0.3097446859,309,18204,17988
85120,0.1887239367,0.3455182612,0.3097699881,309,18204,17988
85130,0.1865284145,0.3445184827,0.3096602559,309,18204,17988
