Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
2530,3.5726673603,-6.0506629944,0.0236865785,-0.0243787766,0.1155285835,0.0014841780,24,19557,19408
2540,3.5725719929,-6.0510087013,0.0233234465,-0.0244741440,0.1151828766,0.0011210460,23,19557,19408
2550,3.5687777996,-6.0405936241,0.0232255887,-0.0282683372,0.1255979538,0.0010231882,23,19557,19408
2560,3.5696890354,-6.0415072441,0.0231285039,-0.0273571014,0.1246843338,0.0009261034,23,19557,19408
2570,3.5696899891,-6.0415039062,0.0230289456,-0.0273561478,0.1246876717,0.0008265451,23,19557,19408
2580,3.5671949387,-6.0333948135,0.0225498322,-0.0298511982,0.1327967644,0.0003474317,22,19557,19408
2590,3.5679965019,-6.0360784531,0.0224297177,-0.0290496349,0.1301131248,0.0002273172,22,19557,19408
2600,3.5658018589,-6.0279893875,0.0222902521,-0.0312442780,0.1382021904,0.0000878517,22,19557,19408
2610,3.5658657551,-6.0277876854,0.0221500695,-0.0311803818,0.1384038925,-0.0000523310,22,19557,19408
2620,3.5662174225,-6.0277142525,0.0220165383,-0.0308287144,0.1384773254,-0.0001858622,23,19557,19408
2631,3.5672483444,-6.0236754417,0.0223002788,-0.0297977924,0.1425161362,0.0000978783,23,19557,19408
2640,3.5619368553,-6.0099339485,0.0221576951,-0.0351092815,0.1562576294,-0.0000447053,23,19557,19408
2650,3.5623135567,-6.0112767220,0.0220262278,-0.0347325802,0.1549148560,-0.0001761727,23,19557,19404
2660,3.5609447956,-6.0076460838,0.0218838975,-0.0361013412,0.1585454941,-0.0003185030,23,19557,19404
2670,3.5612199306,-6.0129456520,0.0205558389,-0.0358262062,0.1532459259,-0.0016465615,19,19557,19404
2680,3.5607571602,-6.0113000870,0.0203386452,-0.0362889767,0.1548914909,-0.0018637553,19,19557,19404
2690,3.5607571602,-6.0113086700,0.0201192629,-0.0362889767,0.1548829079,-0.0020831376,19,19557,19404
2700,3.5618026257,-6.0149836540,0.0199021325,-0.0352435112,0.1512079239,-0.0023002680,19,19557,19404
2710,3.5608389378,-6.0141339302,0.0196860377,-0.0362071991,0.1520576477,-0.0025163628,25,19557,19404
2720,3.5613007545,-6.0156359673,0.0217598453,-0.0357453823,0.1505556107,-0.0004425552,25,19557,19404
2730,3.5643723011,-6.0226254463,0.0216789898,-0.0326738358,0.1435661316,-0.0005234107,25,19557,19404
2740,3.5642049313,-6.0179309845,0.0215837900,-0.0328412056,0.1482605934,-0.0006186105,25,19557,19404
2751,3.5631544590,-6.0142745972,0.0214829370,-0.0338916779,0.1519169807,-0.0007194635,25,19557,19404
2760,3.5631461143,-6.0082759857,0.0220005978,-0.0339000225,0.1579155922,-0.0002018027,23,19557,19404
2771,3.5625746250,-6.0063705444,0.0219153054,-0.0344715118,0.1598210335,-0.0002870951,23,19557,19404
2780,3.5620076656,-6.0047221184,0.0218397714,-0.0350384712,0.1614694595,-0.0003626291,23,19557,19404
2791,3.5605220795,-6.0001311302,0.0217641536,-0.0365240574,0.1660604477,-0.0004382469,23,19557,19404
2801,3.5615534782,-6.0042557716,0.0230663121,-0.0354926586,0.1619358063,0.0008639116,25,19557,19404
2810,3.5616643429,-6.0043349266,0.0230821110,-0.0353817940,0.1618566513,0.0008797105,25,19557,19404
2820,3.5652675629,-6.0139765739,0.0231091566,-0.0317785740,0.1522150040,0.0009067561,25,19557,19404
2830,3.5652489662,-6.0147132874,0.0228828713,-0.0317971706,0.1514782906,0.0006804708,25,19557,19404
2841,3.5646538734,-6.0138330460,0.0217492059,-0.0323922634,0.1523585320,-0.0004531946,24,19557,19404
2850,3.5642066002,-6.0144238472,0.0212176703,-0.0328395367,0.1517677307,-0.0009847302,24,19557,19404
2861,3.5627806187,-6.0161399841,0.0198740363,-0.0342655182,0.1500515938,-0.0023283642,24,19557,19404
2871,3.5630764961,-6.0194821358,0.0193138011,-0.0339696407,0.1467094421,-0.0028885994,24,19557,19404
2880,3.5632433891,-6.0158123970,0.0323750302,-0.0338027477,0.1503791809,0.0101726297,24,19557,19404
