Time,X,Y,Z
4070,1.2373278141,2.0819642544,0.0605506189
4080,1.2368829250,2.0822300911,0.0618066341
4090,1.2362141609,2.0823585987,0.0623732246
4100,1.2361394167,2.0820879936,0.0639221445
4110,1.2356799841,2.0821313858,0.0649823174
4120,1.2357311249,2.0814290047,0.0664957687
4131,1.2363554239,2.0826458931,0.0709816664
4142,1.2368689775,2.0834836960,0.0722761080
4151,1.2381565571,2.0839726925,0.0716251209
4160,1.2380071878,2.0844612122,0.0762546435
4170,1.2379860878,2.0835108757,0.0777052641
4180,1.2379988432,2.0848793983,0.0790137947
4190,1.2378631830,2.0846831799,0.0773628801
4200,1.2398399115,2.0840919018,0.0801447779
4210,1.2395884991,2.0840818882,0.0830120966
4220,1.2377061844,2.0839858055,0.0863657966
4232,1.2399978638,2.0834398270,0.0924317166
4240,1.2402515411,2.0834844112,0.0938866660
4250,1.2387599945,2.0833129883,0.0970690399
4260,1.2387675047,2.0830910206,0.0998908803
4270,1.2389593124,2.0829412937,0.1018324047
4280,1.2408217192,2.0830657482,0.0956755131
4290,1.2400988340,2.0829739571,0.0989184454
4300,1.2410991192,2.0824959278,0.1001079082
4310,1.2401696444,2.0821440220,0.1017782539
4320,1.2407112122,2.0819234848,0.0948105156
4330,1.2420197725,2.0822679996,0.0953619406
4340,1.2416725159,2.0811886787,0.0962735936
4350,1.2416019440,2.0813519955,0.0964286551
4360,1.2419495583,2.0819725990,0.0965793356
4370,1.2424407005,2.0821244717,0.0918270126
4380,1.2426038980,2.0824415684,0.0916133150
4390,1.2425179482,2.0811321735,0.0912095383
4400,1.2423237562,2.0814888477,0.0910866186
4410,1.2424855232,2.0797152519,0.0870964453
4420,1.2426980734,2.0803880692,0.0877888203
4430,1.2430891991,2.0797448158,0.0872616544
4440,1.2424963713,2.0813536644,0.0912960842
4450,1.2409442663,2.0814287663,0.0908606052
4460,1.2407243252,2.0802478790,0.0898899958
4470,1.2404421568,2.0804476738,0.0892269090
4480,1.2406235933,2.0808598995,0.0900864676
4490,1.2403240204,2.0807232857,0.0898945034
4500,1.2407331467,2.0810282230,0.0898405984
4510,1.2401324511,2.0803635120,0.0876477137
