Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
2080,0.0929724351,-0.0569324195,0.0166022703,0.0000151992,-0.0001303069,0.0000135805,19,19667,19982
2090,0.0929726213,-0.0569374487,0.0165221971,0.0000153854,-0.0001353361,-0.0000664927,19,19667,19982
2100,0.0929824188,-0.0569354892,0.0179098547,0.0000251830,-0.0001333766,0.0013211649,20,19667,19982
2110,0.0929833800,-0.0569398813,0.0179059692,0.0000261441,-0.0001377687,0.0013172794,20,19667,19982
2120,0.0929858759,-0.0569445789,0.0178970918,0.0000286400,-0.0001424663,0.0013084020,20,19667,19982
2130,0.0929881930,-0.0569520406,0.0178811308,0.0000309572,-0.0001499280,0.0012924410,20,19667,19982
2140,0.0929889455,-0.0569566339,0.0178564712,0.0000317097,-0.0001545213,0.0012677815,20,19667,19982
2150,0.0929905102,-0.0569624789,0.0178839639,0.0000332743,-0.0001603663,0.0012952741,18,19667,19982
2160,0.0929920822,-0.0569696799,0.0178471897,0.0000348464,-0.0001675673,0.0012584999,18,19667,19982
2170,0.0929934606,-0.0569735244,0.0178024638,0.0000362247,-0.0001714118,0.0012137741,18,19667,19982
2180,0.0929937437,-0.0569806993,0.0177499633,0.0000365078,-0.0001785867,0.0011612736,18,19667,19977
2190,0.0929879621,-0.0569928400,0.0165685844,0.0000307262,-0.0001907274,-0.0000201054,15,19667,19977
2200,0.0929884687,-0.0569980890,0.0164454263,0.0000312328,-0.0001959763,-0.0001432635,15,19667,19977
2210,0.0929862335,-0.0570036471,0.0163161643,0.0000289977,-0.0002015345,-0.0002725255,15,19667,19977
2220,0.0929837450,-0.0570090972,0.0161795504,0.0000265092,-0.0002069846,-0.0004091393,15,19667,19977
2230,0.0929831639,-0.0570150651,0.0160359107,0.0000259280,-0.0002129525,-0.0005527791,17,19667,19977
2240,0.0929854885,-0.0570187196,0.0162979309,0.0000282526,-0.0002166070,-0.0002907589,17,19667,19977
2250,0.0929847509,-0.0570238605,0.0161644388,0.0000275150,-0.0002217479,-0.0004242510,17,19667,19977
2260,0.0929840952,-0.0570290424,0.0160252471,0.0000268593,-0.0002269298,-0.0005634427,17,19667,19977
2270,0.0929843262,-0.0570334867,0.0158802345,0.0000270903,-0.0002313741,-0.0007084552,17,19667,19977
2280,0.0929873735,-0.0570362173,0.0161871910,0.0000301376,-0.0002341047,-0.0004014987,17,19667,19977
2290,0.0929881036,-0.0570421033,0.0160558335,0.0000308678,-0.0002399907,-0.0005328562,17,19667,19977
2300,0.0929885581,-0.0570476092,0.0159194339,0.0000313222,-0.0002454966,-0.0006692559,17,19667,19977
2310,0.0929863751,-0.0570538081,0.0157771483,0.0000291392,-0.0002516955,-0.0008115415,17,19667,19977
2320,0.0929880217,-0.0570559688,0.0161806867,0.0000307858,-0.0002538562,-0.0004080031,17,19667,19977
2330,0.0929897726,-0.0570609607,0.0160543192,0.0000325367,-0.0002588481,-0.0005343705,17,19667,19977
2340,0.0929917544,-0.0570675507,0.0159216579,0.0000345185,-0.0002654381,-0.0006670319,17,19667,19977
2350,0.0929910317,-0.0570718944,0.0157836452,0.0000337958,-0.0002697818,-0.0008050445,17,19667,19977
2360,0.0929897502,-0.0570767857,0.0156402849,0.0000325143,-0.0002746731,-0.0009484049,17,19667,19977
2370,0.0929955170,-0.0570761077,0.0164487325,0.0000382811,-0.0002739951,-0.0001399573,18,19667,19977
2380,0.0929968506,-0.0570793636,0.0163435247,0.0000396147,-0.0002772510,-0.0002451651,18,19667,19977
2390,0.0929972380,-0.0570846237,0.0162325744,0.0000400022,-0.0002825111,-0.0003561154,18,19667,19977
2400,0.0929978862,-0.0570885912,0.0161157679,0.0000406504,-0.0002864785,-0.0004729219,18,19667,19977
2410,0.0929942578,-0.0570965707,0.0155528132,0.0000370219,-0.0002944581,-0.0010358766,15,19667,19977
2420,0.0929936990,-0.0571013279,0.0154044665,0.0000364631,-0.0002992153,-0.0011842232,15,19667,19977
2430,0.0929937288,-0.0571082607,0.0152528128,0.0000364929,-0.0003061481,-0.0013358770,15,19669,19977
2440,0.0929930359,-0.0571144335,0.0150961801,0.0000358000,-0.0003123209,-0.0014925096,15,19669,19977
2450,0.0930047631,-0.0571100563,0.0165387243,0.0000475273,-0.0003079437,-0.0000499655,19,19669,19977
2460,0.0930055380,-0.0571163967,0.0164589230,0.0000483021,-0.0003142841,-0.0001297668,19,19669,19977
2470,0.0930048749,-0.0571227968,0.0163739510,0.0000476390,-0.0003206842,-0.0002147388,19,19669,19977
2480,0.0930057243,-0.0571271628,0.0162836239,0.0000484884,-0.0003250502,-0.0003050659,19,19669,19977
