Time,X,Y,Z
3790,1.2026665211,1.6857975721,0.0980207399
3800,1.2025961876,1.6857860088,0.0984928980
3810,1.2014757395,1.6861572266,0.1007788926
3820,1.2018638849,1.6860917807,0.1032918021
3830,1.2021949291,1.6845855713,0.1056789234
3840,1.2002280951,1.6844314337,0.1078572720
3850,1.2000080347,1.6841942072,0.1124910116
3860,1.1989010572,1.6842598915,0.1149443984
3870,1.2006877661,1.6838225126,0.1181530729
3880,1.2014605999,1.6833407879,0.1210197434
3890,1.2029963732,1.6834266186,0.1257546693
3900,1.2073185444,1.6833136082,0.1270431131
3910,1.2067089081,1.6872264147,0.1320687532
3920,1.2066011429,1.6874577999,0.1360318363
3930,1.2069725990,1.6872297525,0.1410437375
3940,1.2140982151,1.6835687160,0.1415119320
3951,1.2148998976,1.6844338179,0.1500391811
3960,1.2156094313,1.6846245527,0.1585330218
3970,1.2171751261,1.6843299866,0.1623984277
3980,1.2166079283,1.6838475466,0.1641811579
3990,1.2164011002,1.6837128401,0.1677563339
4000,1.2156738043,1.6848156452,0.1709125638
4010,1.2136695385,1.6839357615,0.1730980575
4020,1.2142854929,1.6844341755,0.1740456074
4030,1.2144567966,1.6849378347,0.1777207255
4040,1.2200126648,1.6858397722,0.1848472953
4050,1.2210069895,1.6857806444,0.1883656532
4060,1.2204444408,1.6868361235,0.1925121993
4070,1.2207787037,1.6858530045,0.1915778071
4080,1.2204107046,1.6847720146,0.1951490045
4090,1.2198375463,1.6850566864,0.1985086054
4100,1.2206101418,1.6849131584,0.2017717063
4110,1.2233719826,1.6835530996,0.2031644881
4120,1.2234870195,1.6833585501,0.2064007372
4130,1.2260580063,1.6830886602,0.2093771696
4140,1.2268990278,1.6833426952,0.2122660875
4150,1.2272412777,1.6822316647,0.2139703482
4160,1.2266620398,1.6832480431,0.2170446664
4170,1.2264654636,1.6836106777,0.2198871225
4180,1.2262960672,1.6851210594,0.2226172090
4190,1.2253924608,1.6855962276,0.2251778692
4200,1.2240442038,1.6852718592,0.2272002846
4210,1.2238541842,1.6868574619,0.2301226556
4220,1.2242144346,1.6842025518,0.2333447188
4230,1.2223402262,1.6862206459,0.2363727242
4241,1.2240824699,1.6873470545,0.2384342253
4250,1.2266227007,1.6866562366,0.2412792742
4260,1.2266227007,1.6866562366,0.2412792742
4270,1.2217788696,1.6859921217,0.2472589612
4281,1.2206199169,1.6860603094,0.2507185340
4290,1.2219047546,1.6854580641,0.2536461651
4300,1.2219891548,1.6844612360,0.2536377013
4310,1.2214516401,1.6827950478,0.2597941458
4321,1.2206581831,1.6835432053,0.2597055733
4330,1.2183109522,1.6826406717,0.2650734782
4340,1.2186704874,1.6828413010,0.2682974637
4350,1.2177108526,1.6846015453,0.2712672651
4360,1.2184559107,1.6847378016,0.2743777037
4370,1.2169424295,1.6831257343,0.2768085897
4380,1.2151817083,1.6822043657,0.2797421813
4390,1.2151522636,1.6828694344,0.2828118801
4400,1.2143425941,1.6824550629,0.2857567668
4410,1.2135308981,1.6823338270,0.2886738181
4420,1.2137458324,1.6829482317,0.2913219035
4430,1.2130291462,1.6821520329,0.2942023575
4440,1.2115317583,1.6822820902,0.2970144749
4450,1.2105897665,1.6822189093,0.2998798788
4460,1.2094517946,1.6822586060,0.3028088808
4470,1.2092319727,1.6836236715,0.3056019545
4481,1.2093795538,1.6825411320,0.3084661365
4491,1.2095675468,1.6800080538,0.3113154769
4500,1.2105478048,1.6792850494,0.3149754405
4512,1.2075730562,1.6811025143,0.3208008707
4520,1.2077246904,1.6810451746,0.3207943738
4531,1.2056634426,1.6826882362,0.3264540434
4540,1.2062846422,1.6826597452,0.3264495134
4550,1.2056403160,1.6827399731,0.3291217983
4561,1.2058262825,1.6819373369,0.3319721818
4570,1.2051488161,1.6818006039,0.3347759843
4580,1.2036230564,1.6810760498,0.3375239074
4590,1.2048732042,1.6799223423,0.3413314521
4600,1.2043865919,1.6797622442,0.3441537917
4610,1.2046346664,1.6805287600,0.3469823003
4620,1.2047358751,1.6805762053,0.3497743905
4631,1.2029949427,1.6782182455,0.3515305221
4640,1.2025974989,1.6779581308,0.3543052375
4651,1.2029137611,1.6776088476,0.3573558927
4660,1.2040878534,1.6787600517,0.3601755202
4670,1.2041337490,1.6811360121,0.3629484773
4680,1.2039611340,1.6815134287,0.3637457490
4690,1.2036842108,1.6824932098,0.3663525581
4700,1.2037502527,1.6805684566,0.3693510294
4712,1.2034215927,1.6805044413,0.3721403182
4720,1.2034766674,1.6803519726,0.3752900660
4730,1.2038178444,1.6815611124,0.3780328333
4740,1.2155969143,1.6763193607,0.3810987473
4750,1.2062964439,1.6729581356,0.3849122226
4761,1.2048156261,1.6731864214,0.3878577650
4770,1.2202093601,1.6732683182,0.3901158273
4781,1.2156348228,1.6732385159,0.3936502337
4790,1.2146313190,1.6829580069,0.3968890011
4800,1.2125406265,1.6750745773,0.4004231393
4810,1.2119749784,1.6750507355,0.4011317492
4820,1.2110222578,1.6638315916,0.4038577676
4830,1.2095739841,1.6645965576,0.4066635370
4840,1.2099930048,1.6633200645,0.4093612134
4851,1.2097791433,1.6621671915,0.4120466411
4860,1.2115128040,1.6636120081,0.4140555561
4870,1.2109096050,1.6653083563,0.4167744815
4881,1.2124782801,1.6667762995,0.4194251299
4890,1.2112344503,1.6680167913,0.4220475852
4901,1.2116212845,1.6689642668,0.4243394732
4910,1.2124387026,1.6694718599,0.4269668162
4920,1.2123227119,1.6689509153,0.4296118617
4931,1.2132511139,1.6682133675,0.4322126210
4940,1.2136062384,1.6672458649,0.4352682233
4951,1.2166885138,1.6666322947,0.4379773438
4960,1.2162703276,1.6649035215,0.4406515062
4971,1.2144657373,1.6639568806,0.4433332682
4980,1.2168388367,1.6635229588,0.4459633231
4990,1.2164913416,1.6635770798,0.4477776289
5000,1.2181278467,1.6641405821,0.4503918290
5010,1.2148030996,1.6647887230,0.4532589614
5020,1.2150180340,1.6651126146,0.4558191895
5031,1.2129935026,1.6657886505,0.4577410519
5040,1.2143794298,1.6662718058,0.4604914784
5051,1.2171534300,1.6670652628,0.4629950225
5060,1.2168743610,1.6661945581,0.4655198157
5072,1.2166196108,1.6656870842,0.4692588747
5082,1.2157040834,1.6645962000,0.4718619585
5090,1.2156963348,1.6648832560,0.4745600522
5101,1.2171342373,1.6663959026,0.4772792459
5110,1.2202618122,1.6659446955,0.4799903631
5122,1.2231482267,1.6660976410,0.4827212691
5131,1.2232209444,1.6659606695,0.4854576886
5140,1.2234313488,1.6662002802,0.4881818295
5150,1.2142213583,1.6690551043,0.4911137819
5160,1.2137520313,1.6704392433,0.4930845201
5170,1.2131549120,1.6706284285,0.4957444966
5180,1.2152727842,1.6693559885,0.4984797537
5190,1.2148718834,1.6707835197,0.5011265874
5200,1.2144527435,1.6709872484,0.5037322640
5210,1.2161828279,1.6712577343,0.5060083270
5220,1.2159049511,1.6714724302,0.5085526705
5231,1.2159539461,1.6703604460,0.5110877752
5240,1.2170611620,1.6684232950,0.5135468841
5251,1.2155858278,1.6676236391,0.5170292258
5260,1.2162734270,1.6656237841,0.5195963383
