Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
1920,-0.0006931778,0.0034945521,0.0402891450,-0.0006931778,0.0034945521,0.0402891450,19,19914,20439
1930,-0.0006600238,0.0070978492,0.0279354472,-0.0006600238,0.0070978492,0.0279354472,19,19914,20439
1940,-0.0007310531,0.0073939245,0.0403490849,-0.0007310531,0.0073939245,0.0403490849,19,19914,20439
1950,-0.0019713310,0.0082074106,0.0420720167,-0.0019713310,0.0082074106,0.0420720167,19,19914,20439
1960,-0.0022679206,0.0086171143,0.0455164202,-0.0022679206,0.0086171143,0.0455164202,21,19914,20439
1970,-0.0005083549,0.0040053986,0.0410879888,-0.0005083549,0.0040053986,0.0410879888,21,19914,20439
1980,0.0001903089,0.0036205947,0.0376971401,0.0001903089,0.0036205947,0.0376971401,21,19914,20439
1990,-0.0013423975,0.0046025454,0.0509716943,-0.0013423975,0.0046025454,0.0509716943,21,19914,20439
2000,-0.0013966054,0.0054741730,0.0526713394,-0.0013966054,0.0054741730,0.0526713394,21,19914,20439
2010,-0.0006105461,0.0047027864,0.0446005575,-0.0006105461,0.0047027864,0.0446005575,24,19914,20439
2020,-0.0005125874,0.0051421146,0.0454687364,-0.0005125874,0.0051421146,0.0454687364,24,19914,20439
2030,-0.0005125874,0.0051421146,0.0454687364,-0.0005125874,0.0051421146,0.0454687364,24,19914,20439
2040,0.0007343721,0.0041333409,0.0457626060,0.0007343721,0.0041333409,0.0457626060,24,19914,20439
2050,-0.0007200761,0.0048627593,0.0388120078,-0.0007200761,0.0048627593,0.0388120078,18,19914,20439
2060,0.0005215944,0.0045553297,0.0419548526,0.0005215944,0.0045553297,0.0419548526,18,19914,20439
2070,0.0003419455,0.0038535181,0.0420570225,0.0003419455,0.0038535181,0.0420570225,18,19914,20439
2080,0.0005213913,0.0035629370,0.0419960432,0.0005213913,0.0035629370,0.0419960432,18,19914,20439
2090,-0.0014506560,0.0038167196,0.0437019691,-0.0014506560,0.0038167196,0.0437019691,18,19914,20439
2100,0.0007467989,0.0035578590,0.0420346744,0.0007467989,0.0035578590,0.0420346744,23,19914,20439
2110,0.0005286532,0.0036749172,0.0425989442,0.0005286532,0.0036749172,0.0425989442,23,19914,20439
2120,0.0007489934,0.0035539619,0.0425647609,0.0007489934,0.0035539619,0.0425647609,23,19914,20439
2130,0.0005722896,0.0037876379,0.0452305451,0.0005722896,0.0037876379,0.0452305451,23,19914,20439
2140,0.0007438851,0.0038548878,0.0357268937,0.0007438851,0.0038548878,0.0357268937,20,19914,20439
2150,0.0005056699,0.0038419454,0.0366732664,0.0005056699,0.0038419454,0.0366732664,20,19914,20439
2160,-0.0004766852,0.0045618713,0.0370828956,-0.0004766852,0.0045618713,0.0370828956,20,19914,20439
2170,-0.0003525831,0.0042465171,0.0391395912,-0.0003525831,0.0042465171,0.0391395912,20,19914,20447
2180,-0.0003772885,0.0077699418,0.0311300140,-0.0003772885,0.0077699418,0.0311300140,19,19914,20447
2190,-0.0037691609,0.0146062709,0.0005337717,-0.0037691609,0.0146062709,0.0005337717,19,19914,20447
2200,-0.0037691609,0.0146062709,0.0005337717,-0.0037691609,0.0146062709,0.0005337717,19,19914,20447
2210,-0.0041542202,0.0160731971,0.0423026532,-0.0041542202,0.0160731971,0.0423026532,19,19914,20447
2220,-0.0033423412,0.0146394894,0.0517092012,-0.0033423412,0.0146394894,0.0517092012,19,19914,20447
2230,-0.0034407703,0.0151068335,0.0424919128,-0.0034407703,0.0151068335,0.0424919128,20,19914,20447
2240,-0.0039018749,0.0150572993,0.0420722738,-0.0039018749,0.0150572993,0.0420722738,20,19914,20447
2250,-0.0044037048,0.0160741862,0.0428048410,-0.0044037048,0.0160741862,0.0428048410,20,19914,20447
2260,-0.0056436993,0.0171016064,0.0442082062,-0.0056436993,0.0171016064,0.0442082062,20,19914,20447
2270,-0.0054031825,0.0167808384,0.0369519591,-0.0054031825,0.0167808384,0.0369519591,23,19914,20447
2280,-0.0054031825,0.0167808384,0.0369519591,-0.0054031825,0.0167808384,0.0369519591,23,19914,20447
2290,-0.0031154829,0.0153157832,0.0350809768,-0.0031154829,0.0153157832,0.0350809768,23,19914,20447
2300,-0.0051559699,0.0171201434,0.0456200875,-0.0051559699,0.0171201434,0.0456200875,23,19914,20447
2310,-0.0046640448,0.0173628926,0.0464142337,-0.0046640448,0.0173628926,0.0464142337,19,19914,20447
2320,-0.0034247015,0.0168715585,0.0393023752,-0.0034247015,0.0168715585,0.0393023752,19,19914,20447
2330,-0.0033373325,0.0157768987,0.0387902893,-0.0033373325,0.0157768987,0.0387902893,19,19914,20447
2340,-0.0035393280,0.0168400779,0.0428310037,-0.0035393280,0.0168400779,0.0428310037,19,19914,20447
2350,-0.0047979956,0.0168826841,0.0431224778,-0.0047979956,0.0168826841,0.0431224778,19,19914,20447
2360,-0.0049720891,0.0158321373,0.0344848633,-0.0049720891,0.0158321373,0.0344848633,19,19914,20447
2370,-0.0034537208,0.0149672693,0.0371648073,-0.0034537208,0.0149672693,0.0371648073,19,19914,20447
2380,-0.0049978611,0.0164469089,0.0489234626,-0.0049978611,0.0164469089,0.0489234626,19,19914,20447
2390,-0.0052860398,0.0165430345,0.0495953150,-0.0052860398,0.0165430345,0.0495953150,19,19914,20447
2400,-0.0032360856,0.0166914649,0.0424204469,-0.0032360856,0.0166914649,0.0424204469,20,19914,20447
2410,-0.0029343334,0.0169020295,0.0426089279,-0.0029343334,0.0169020295,0.0426089279,20,19914,20447
2420,-0.0033006356,0.0167757310,0.0442202613,-0.0033006356,0.0167757310,0.0442202613,20,19915,20447
2430,-0.0032756263,0.0162526630,0.0449859910,-0.0032756263,0.0162526630,0.0449859910,20,19915,20447
